@category,@priority,@rank,@type,@output
MALICIOUS_CODE,1,16,MS_SHOULD_BE_FINAL,true
MALICIOUS_CODE,1,16,MS_SHOULD_BE_FINAL,true
STYLE,3,20,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,true
PERFORMANCE,3,20,DM_STRING_TOSTRING,true
BAD_PRACTICE,2,16,RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN,true
STYLE,3,19,UC_USELESS_CONDITION,
STYLE,2,17,UC_USELESS_OBJECT,
PERFORMANCE,3,20,UPM_UNCALLED_PRIVATE_METHOD,
PERFORMANCE,3,20,UPM_UNCALLED_PRIVATE_METHOD,
PERFORMANCE,3,20,UPM_UNCALLED_PRIVATE_METHOD,
STYLE,2,17,BC_UNCONFIRMED_CAST,
STYLE,3,20,BC_UNCONFIRMED_CAST,
PERFORMANCE,3,20,URF_UNREAD_FIELD,
STYLE,2,19,SF_SWITCH_NO_DEFAULT,
STYLE,3,20,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,
STYLE,3,20,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,
STYLE,3,20,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,
STYLE,3,20,DLS_DEAD_LOCAL_STORE,
STYLE,3,20,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,
STYLE,3,20,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,
PERFORMANCE,3,20,DM_STRING_TOSTRING,
BAD_PRACTICE,3,14,ES_COMPARING_STRINGS_WITH_EQ,
STYLE,3,20,FE_FLOATING_POINT_EQUALITY,
BAD_PRACTICE,2,16,HE_EQUALS_USE_HASHCODE,
BAD_PRACTICE,2,16,HE_INHERITS_EQUALS_USE_HASHCODE,
BAD_PRACTICE,2,16,SE_TRANSIENT_FIELD_NOT_RESTORED,
BAD_PRACTICE,3,19,SE_TRANSIENT_FIELD_NOT_RESTORED,
STYLE,3,20,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,
STYLE,3,20,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,
STYLE,3,20,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,
STYLE,3,20,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,
STYLE,3,20,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,
STYLE,3,20,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,
STYLE,2,17,EQ_UNUSUAL,
STYLE,3,20,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,
STYLE,3,20,DLS_DEAD_LOCAL_STORE,
STYLE,2,18,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,
STYLE,2,18,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,
STYLE,3,19,UC_USELESS_CONDITION,
MT_CORRECTNESS,3,17,LI_LAZY_INIT_STATIC,
BAD_PRACTICE,3,19,NM_CONFUSING,
STYLE,3,20,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,
STYLE,3,20,NS_NON_SHORT_CIRCUIT,
STYLE,3,20,PZLA_PREFER_ZERO_LENGTH_ARRAYS,
STYLE,3,20,PZLA_PREFER_ZERO_LENGTH_ARRAYS,
STYLE,2,17,DLS_DEAD_LOCAL_STORE,
STYLE,3,19,NP_LOAD_OF_KNOWN_NULL_VALUE,
STYLE,3,20,DLS_DEAD_LOCAL_STORE,
PERFORMANCE,2,18,DM_BOXED_PRIMITIVE_TOSTRING,
PERFORMANCE,3,20,DM_FP_NUMBER_CTOR,
STYLE,3,20,NS_NON_SHORT_CIRCUIT,
STYLE,3,20,NS_NON_SHORT_CIRCUIT,
STYLE,3,20,NS_NON_SHORT_CIRCUIT,
STYLE,3,20,NS_NON_SHORT_CIRCUIT,
STYLE,3,20,NS_NON_SHORT_CIRCUIT,
STYLE,3,20,NS_NON_SHORT_CIRCUIT,
STYLE,3,20,NS_NON_SHORT_CIRCUIT,
STYLE,3,20,NS_NON_SHORT_CIRCUIT,
STYLE,3,20,NS_NON_SHORT_CIRCUIT,
STYLE,3,20,NS_NON_SHORT_CIRCUIT,
STYLE,3,20,NS_NON_SHORT_CIRCUIT,
STYLE,3,20,BC_UNCONFIRMED_CAST,
STYLE,3,20,BC_UNCONFIRMED_CAST,
STYLE,3,20,BC_UNCONFIRMED_CAST,
CORRECTNESS,3,11,RpC_REPEATED_CONDITIONAL_TEST,
PERFORMANCE,2,18,DM_NUMBER_CTOR,
BAD_PRACTICE,3,19,BIT_SIGNED_CHECK,
BAD_PRACTICE,3,19,BIT_SIGNED_CHECK,
CORRECTNESS,3,11,IP_PARAMETER_IS_DEAD_BUT_OVERWRITTEN,
CORRECTNESS,3,11,IP_PARAMETER_IS_DEAD_BUT_OVERWRITTEN,
STYLE,3,20,NS_NON_SHORT_CIRCUIT,
STYLE,2,19,SF_SWITCH_NO_DEFAULT,
BAD_PRACTICE,3,19,BIT_SIGNED_CHECK,
BAD_PRACTICE,3,19,BIT_SIGNED_CHECK,
STYLE,3,20,DB_DUPLICATE_SWITCH_CLAUSES,
MALICIOUS_CODE,2,18,EI_EXPOSE_REP,
MALICIOUS_CODE,2,18,EI_EXPOSE_REP2,
BAD_PRACTICE,3,19,NM_METHOD_NAMING_CONVENTION,
BAD_PRACTICE,3,19,NM_METHOD_NAMING_CONVENTION,
BAD_PRACTICE,3,19,NM_METHOD_NAMING_CONVENTION,
BAD_PRACTICE,3,19,NM_METHOD_NAMING_CONVENTION,
BAD_PRACTICE,3,19,NM_METHOD_NAMING_CONVENTION,
BAD_PRACTICE,3,19,NM_METHOD_NAMING_CONVENTION,
BAD_PRACTICE,3,19,NM_METHOD_NAMING_CONVENTION,
BAD_PRACTICE,3,19,NM_METHOD_NAMING_CONVENTION,
BAD_PRACTICE,3,19,NM_METHOD_NAMING_CONVENTION,
BAD_PRACTICE,3,19,NM_METHOD_NAMING_CONVENTION,
BAD_PRACTICE,3,19,NM_METHOD_NAMING_CONVENTION,
BAD_PRACTICE,3,19,NM_METHOD_NAMING_CONVENTION,
BAD_PRACTICE,3,19,NM_METHOD_NAMING_CONVENTION,
BAD_PRACTICE,3,19,NM_METHOD_NAMING_CONVENTION,
STYLE,3,20,PZLA_PREFER_ZERO_LENGTH_ARRAYS,
STYLE,2,19,SF_SWITCH_NO_DEFAULT,
BAD_PRACTICE,3,19,BIT_SIGNED_CHECK,
BAD_PRACTICE,3,19,BIT_SIGNED_CHECK,
BAD_PRACTICE,3,19,BIT_SIGNED_CHECK,
BAD_PRACTICE,3,19,BIT_SIGNED_CHECK,
BAD_PRACTICE,3,19,BIT_SIGNED_CHECK,
BAD_PRACTICE,3,19,BIT_SIGNED_CHECK,
BAD_PRACTICE,3,19,BIT_SIGNED_CHECK,
BAD_PRACTICE,3,19,BIT_SIGNED_CHECK,
BAD_PRACTICE,3,19,BIT_SIGNED_CHECK,
BAD_PRACTICE,3,19,BIT_SIGNED_CHECK,
